"PublishedIndicatorId","SourceIndicatorId","NameEN","NameAR","IndicatorTypeId","IndicatorTypeEN","IndicatorTypeAR","IndicatorTypeCode","IndicatorPriorityTypeId","PriorityTypeEN","PriorityTypeAR","PriorityTypeCode","PriorityRanking","IndicatorEntityTypeId","EntityClassification","EntityClassificationName","PublishingStatus","PublishingStatusName","Published","IsActive","InactiveReason","Completed","IsAnalysisAdded","ShowBenchmarksOnOverview","IsRankingOrRatingIndicator","OverlayEN","OverlayAR","Comment","CreatedAt","UpdatedAt"
"f0a2e654-d78c-4d14-3e15-08ddb7179f33","9940aaee-42c1-4e00-ad2f-f04e2607cc35","Percentage of Transit on Stop-overs","نسبة السياح (الإقامة القصيرة) من إجمالي ركاب الترانزيت","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","Sector Indicator","قطاع","sectorindicator","2","Priority","مشروع ذو أولوية","priority","2","56f68520-57a9-4bff-a680-11cc3322f780","7","Sectors","2","Amended","True","False","","True","False","False","False","This indicator will be activated once it is published in the National Central Database","سيتم تفعيل المؤشر حين نشره من قبل قاعدة البيانات المركزية للدولة","","6/29/2025 6:53:10 PM",""
"64368107-c86b-4488-3e1c-08ddb7179f33","687a6199-d27b-4c35-a249-0eee77d142db","Export Cost ","تكلفة التصدير","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","Sector Indicator","قطاع","sectorindicator","2","Priority","مشروع ذو أولوية","priority","2","39740084-7387-4caa-886a-8bd5c71fd799","7","Sectors","2","Amended","True","False","","True","True","False","False","This indicator will be activated once it is published in the National Central Database","سيتم تفعيل المؤشر حين نشره من قبل قاعدة البيانات المركزية للدولة","","6/29/2025 6:58:45 PM",""
"a7eeeaa7-3a05-465c-3e1d-08ddb7179f33","ed3fff4e-a640-48d8-90d8-eac6a620ffd6","Import Cost","تكلفة الاستيراد","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","Sector Indicator","قطاع","sectorindicator","2","Priority","مشروع ذو أولوية","priority","2","39740084-7387-4caa-886a-8bd5c71fd799","7","Sectors","2","Amended","True","False","","True","True","False","False","This indicator will be activated once it is published in the National Central Database","سيتم تفعيل المؤشر حين نشره من قبل قاعدة البيانات المركزية للدولة","","6/29/2025 6:59:42 PM",""
"2137c6dc-b410-4258-3e1e-08ddb7179f33","db61b0e2-9e23-40b4-81e6-4a6e4d2ccb3d","Airport Utilization ","نسبة استغلال المطار ","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","Sector Indicator","قطاع","sectorindicator","2","Priority","مشروع ذو أولوية","priority","2","39740084-7387-4caa-886a-8bd5c71fd799","7","Sectors","2","Amended","True","False","","True","True","False","False","","","","6/29/2025 7:02:37 PM",""
"dc37d928-40d5-4998-3e24-08ddb7179f33","748df6c6-a0bd-4557-8a24-815bf8ff7161","Share of High-Skilled Jobs","نسبة الوظائف عالية المهارة","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","Sector Indicator","قطاع","sectorindicator","2","Priority","مشروع ذو أولوية","priority","2","0679a403-9ca5-4a05-952b-53250586775b","7","Sectors","2","Amended","True","False","","True","True","False","False","This indicator will be activated once it is published in the National Central Database","سيتم تفعيل المؤشر حين نشره من قبل قاعدة البيانات المركزية للدولة","","6/29/2025 7:10:42 PM",""
"60073a09-fb63-4825-3e25-08ddb7179f33","7bc7b9a4-8c6b-432d-b55e-767df6f6886a","Foreign Investments into the Sector","الاستثمار الأجنبي في القطاع","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","Sector Indicator","قطاع","sectorindicator","2","Priority","مشروع ذو أولوية","priority","2","0679a403-9ca5-4a05-952b-53250586775b","7","Sectors","2","Amended","True","False","","True","False","False","False","This indicator will be activated once it is published in the National Central Database","سيتم تفعيل المؤشر حين نشره من قبل قاعدة البيانات المركزية للدولة","","6/29/2025 7:11:43 PM",""
"f597b0c1-9e2c-4899-3e2b-08ddb7179f33","7e54d61c-9b11-44fc-bb18-2c0552dca890","Assets deployed in Qatar by Fund of Funds ","حجم صندوق الصناديق الاستثمارية العاملة في دولة قطر ","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","Sector Indicator","قطاع","sectorindicator","2","Priority","مشروع ذو أولوية","priority","2","a0d0a555-e73a-475d-a643-d1274460d246","7","Sectors","2","Amended","True","False","","True","True","False","False","","","","6/29/2025 7:20:02 PM",""
"57e6f80d-27a2-43de-3e41-08ddb7179f33","1708ac18-eea4-427a-9eb6-921333bd5174","Share of Qataris in High-Skilled White Collar"," نسبة القطريين في وظائف المهارات العالية من ذوي الياقات البيضاء","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","Sector Indicator","قطاع","sectorindicator","2","Priority","مشروع ذو أولوية","priority","2","f48b7019-ef34-4eb7-859d-2e4bde81d3c1","7","Sectors","2","Amended","True","False","","True","False","False","False","This indicator will be activated once it is published in the National Central Database","سيتم تفعيل المؤشر حين نشره من قبل قاعدة البيانات المركزية للدولة","","6/29/2025 8:27:01 PM",""
"e2546a69-1ba8-4b1e-3e4d-08ddb7179f33","63eaf2c5-952e-4eca-9b1d-aea65c65e92e","A road map linking the free zones and all ports","خارطة طرق تربط بين المناطق الحرة وجميع المنافذ","d4021384-4690-4a13-9ee6-fa63aef5d4f1","Program Indicator","برنامج","programindicator","2","Priority","مشروع ذو أولوية","priority","2","39740084-7387-4caa-886a-8bd5c71fd799","7","Sectors","2","Amended","True","False","","True","False","False","False","","","","6/29/2025 11:09:22 PM",""
"7ebf49ff-62db-4a91-3e4e-08ddb7179f33","11002925-a327-4b01-a247-97bf8aa9c668","حجم القدرة الاستيعابية للمستودعات الجمركية في المطارات","حجم القدرة الاستيعابية للمستودعات الجمركية في المطارات","d4021384-4690-4a13-9ee6-fa63aef5d4f1","Program Indicator","برنامج","programindicator","2","Priority","مشروع ذو أولوية","priority","2","39740084-7387-4caa-886a-8bd5c71fd799","7","Sectors","2","Amended","True","False","","True","False","False","False","","","","6/29/2025 11:09:58 PM",""
