"PublishedIndicatorChartId","PublishedIndicatorId","AlternateViewId","AlternateViewEN","AlternateViewAR","AlternateViewCode"
"774b61b2-2f64-477a-2a62-08ddb7179f3e","ba86d4e8-86df-4abf-3e69-08ddb7179f33","6ddcae37-696b-4346-bfe9-4404f72f63f4","Yearly YoY pp","التغير السنوي على أساس سنوي (نقطة مئوية)","yoypp"
"bd480049-4f56-469b-2a63-08ddb7179f3e","1c0c06df-a200-4826-3e6a-08ddb7179f33","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"3265a2ee-d159-4b34-2a64-08ddb7179f3e","9af398b9-ca7f-4451-3e6b-08ddb7179f33","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"dd446540-43a0-4b0d-2a65-08ddb7179f3e","e695ef47-c754-419c-3e6c-08ddb7179f33","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"1349bf14-534b-4713-2a66-08ddb7179f3e","45d63a3d-01cd-485d-3e6d-08ddb7179f33","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"89114ab1-0703-4c63-2a67-08ddb7179f3e","8822f966-05c2-417f-3e6e-08ddb7179f33","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"f0aa7ab0-541f-4eac-c668-08ddb722adc4","d2c4d177-bb12-4645-b53f-08ddb722adc3","1a030a2f-9580-4f77-8a14-0abfc76e4608","Quarterly QoQ %","التغير ربع السنوي على أساس ربعي (%)","qoq"
"d5b9d6bf-a136-4349-c669-08ddb722adc4","c3257c34-9cb4-41be-b540-08ddb722adc3","1a030a2f-9580-4f77-8a14-0abfc76e4608","Quarterly QoQ %","التغير ربع السنوي على أساس ربعي (%)","qoq"
"742fc447-c08f-4b80-c66f-08ddb722adc4","e8dde311-7c9b-4bec-b546-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"258c5d38-0d0c-46bd-c671-08ddb722adc4","54259d3e-0236-495b-b548-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"898de8a1-3c3c-4afb-c672-08ddb722adc4","b101ba8b-99ff-4118-b549-08ddb722adc3","1A030A2F-9580-4F77-8A14-0ABFC76E4608","Quarterly QoQ %","التغير ربع السنوي على أساس ربعي (%)","qoq"
"4b9b8cac-f6fb-4ad0-c673-08ddb722adc4","2eb9e540-a156-40b0-b54a-08ddb722adc3","1A030A2F-9580-4F77-8A14-0ABFC76E4608","Quarterly QoQ %","التغير ربع السنوي على أساس ربعي (%)","qoq"
"7b121008-725d-49fb-c684-08ddb722adc4","4621e313-d65e-460b-b55b-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"9cf713be-02c1-41ef-c68b-08ddb722adc4","d721ff2f-6278-4b48-b562-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"60541580-5b31-4400-c68c-08ddb722adc4","ce90f312-89d7-4642-b563-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"b3891435-b9aa-43f8-c696-08ddb722adc4","9261cd38-6628-44b6-b56d-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"77a1267e-cfd3-4612-c697-08ddb722adc4","d946e532-7a4a-465c-b56e-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"300e666a-dec1-4764-c69b-08ddb722adc4","f726cf23-d70b-4f87-b572-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"1ec24770-913a-4d88-c69c-08ddb722adc4","4cf28eb0-d3d3-436b-b573-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"f8243a6f-dd92-4727-c69f-08ddb722adc4","298b09ad-4cf5-4503-b576-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"44171559-e792-4beb-c6a0-08ddb722adc4","cb53f44c-8e81-4ba5-b577-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"ae7ce06e-6127-494f-c6a1-08ddb722adc4","a90a3185-1ed5-4396-b578-08ddb722adc3","1A030A2F-9580-4F77-8A14-0ABFC76E4608","Quarterly QoQ %","التغير ربع السنوي على أساس ربعي (%)","qoq"
"27340cfc-d75f-4091-c6a2-08ddb722adc4","5be08e95-cf7e-47c4-b579-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"bceb3daf-ec1e-492a-c6a3-08ddb722adc4","6b4f51a8-b0b2-43d6-b57a-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"18c1c7fd-8bee-4662-c6a4-08ddb722adc4","c817263d-3a22-49fe-b57b-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"b5447f84-cb45-4203-c6a5-08ddb722adc4","bfbb07cc-a75f-4f91-b57c-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
"d0ada681-c19b-47a0-c6a6-08ddb722adc4","5d6365ea-9a11-4e41-b57d-08ddb722adc3","1A030A2F-9580-4F77-8A14-0ABFC76E4608","Quarterly QoQ %","التغير ربع السنوي على أساس ربعي (%)","qoq"
"e5836ca5-e41e-49d1-c6a7-08ddb722adc4","b77d24f1-93ad-4fd0-b57e-08ddb722adc3","1A030A2F-9580-4F77-8A14-0ABFC76E4608","Quarterly QoQ %","التغير ربع السنوي على أساس ربعي (%)","qoq"
"d7c49680-8d24-486a-c6a8-08ddb722adc4","db238c93-c268-461a-b57f-08ddb722adc3","1A030A2F-9580-4F77-8A14-0ABFC76E4608","Quarterly QoQ %","التغير ربع السنوي على أساس ربعي (%)","qoq"
"e664da57-7649-48d7-c6a9-08ddb722adc4","d0666126-3e30-4ef0-b580-08ddb722adc3","1A030A2F-9580-4F77-8A14-0ABFC76E4608","Quarterly QoQ %","التغير ربع السنوي على أساس ربعي (%)","qoq"
"fc2b3b88-a0f8-4aa4-c6aa-08ddb722adc4","9a2d91c8-d4c0-431b-b581-08ddb722adc3","43A29E53-13DF-477E-B993-DE5A423DAB99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy"
