"PublishedAdditionalChartId","PublishedIndicatorId","PublishedIndicatorDetailId","CountryId","CountryEN","CountryAR","CountryCode"
"5191f3af-2067-41c4-5deb-08de9e9ca8bb","d9eed3fe-a269-4d96-6897-08de9e04ed95","88e12df6-ffab-458e-cd97-08de9e04ed9e","3eb36153-9f64-4030-b794-a66cb9a1858e","Germany","ألمانيا","DE"
"53a20a79-4150-4614-d9fc-08de049df013","f45c2040-d061-4e4c-c883-08de049c57c4","179f7c36-5c7e-46a2-7ac8-08de049c57c6","3eb36153-9f64-4030-b794-a66cb9a1858e","Germany","ألمانيا","DE"
"d92a42f0-0dfd-4080-a475-08de064081a8","fcdc61e3-9c77-48bf-28ad-08de064080f7","b60f7e11-c096-4fab-64ce-08de064080f9","3eb36153-9f64-4030-b794-a66cb9a1858e","Germany","ألمانيا","DE"
"23f63810-1a4c-4037-f08d-08dea241b62e","8c915ebe-4dc5-4900-f117-08dea2389aaf","617e08ea-9571-42d0-6a65-08dea2389ab1","3eb36153-9f64-4030-b794-a66cb9a1858e","Germany","ألمانيا","DE"
"e915cc6c-8917-492f-f43f-08de75253b9c","e8b7aa3b-38aa-47b8-fe79-08de7446bf51","f52a8461-8066-4ff4-7081-08de7446bf5c","460ac879-92c6-4d59-b91d-122fb9ae498f","Pakistan","باكستان","PK"
"1f68b06e-14af-4f3d-a0b6-08dec77b7a69","3246e1e8-af83-46dd-981e-08dec461c232","acd778b1-1d77-4ffa-7a8e-08dec461c23d","503831d1-e518-40f9-9742-7a9fc0b87b91","Chile","تشيلي","CL"
"83f9f74b-7a58-42eb-fb8c-08debee637ed","c65e0835-1de9-41f1-dfd6-08debee6364f","6c2ec1e3-860f-4b3f-60c6-08debee63662","735ccf37-9b0d-483c-a8bd-05b1e6a064b1","Netherlands","هولندا","NL"
"23f63810-1a4c-4037-f08d-08dea241b62e","8c915ebe-4dc5-4900-f117-08dea2389aaf","617e08ea-9571-42d0-6a65-08dea2389ab1","735ccf37-9b0d-483c-a8bd-05b1e6a064b1","Netherlands","هولندا","NL"
"acdd2ae8-beb3-4b0b-fb8b-08debee637ed","c65e0835-1de9-41f1-dfd6-08debee6364f","6c2ec1e3-860f-4b3f-60c6-08debee63662","735ccf37-9b0d-483c-a8bd-05b1e6a064b1","Netherlands","هولندا","NL"
"5191f3af-2067-41c4-5deb-08de9e9ca8bb","d9eed3fe-a269-4d96-6897-08de9e04ed95","88e12df6-ffab-458e-cd97-08de9e04ed9e","735ccf37-9b0d-483c-a8bd-05b1e6a064b1","Netherlands","هولندا","NL"
"53a20a79-4150-4614-d9fc-08de049df013","f45c2040-d061-4e4c-c883-08de049c57c4","179f7c36-5c7e-46a2-7ac8-08de049c57c6","735ccf37-9b0d-483c-a8bd-05b1e6a064b1","Netherlands","هولندا","NL"
"d92a42f0-0dfd-4080-a475-08de064081a8","fcdc61e3-9c77-48bf-28ad-08de064080f7","b60f7e11-c096-4fab-64ce-08de064080f9","735ccf37-9b0d-483c-a8bd-05b1e6a064b1","Netherlands","هولندا","NL"
"d92a42f0-0dfd-4080-a475-08de064081a8","fcdc61e3-9c77-48bf-28ad-08de064080f7","b60f7e11-c096-4fab-64ce-08de064080f9","834a770b-6372-40e2-bbcc-0a321e06bb13","Malaysia","ماليزيا","MY"
"53a20a79-4150-4614-d9fc-08de049df013","f45c2040-d061-4e4c-c883-08de049c57c4","179f7c36-5c7e-46a2-7ac8-08de049c57c6","834a770b-6372-40e2-bbcc-0a321e06bb13","Malaysia","ماليزيا","MY"
"5191f3af-2067-41c4-5deb-08de9e9ca8bb","d9eed3fe-a269-4d96-6897-08de9e04ed95","88e12df6-ffab-458e-cd97-08de9e04ed9e","834a770b-6372-40e2-bbcc-0a321e06bb13","Malaysia","ماليزيا","MY"
"23f63810-1a4c-4037-f08d-08dea241b62e","8c915ebe-4dc5-4900-f117-08dea2389aaf","617e08ea-9571-42d0-6a65-08dea2389ab1","834a770b-6372-40e2-bbcc-0a321e06bb13","Malaysia","ماليزيا","MY"
"1f68b06e-14af-4f3d-a0b6-08dec77b7a69","3246e1e8-af83-46dd-981e-08dec461c232","acd778b1-1d77-4ffa-7a8e-08dec461c23d","834a770b-6372-40e2-bbcc-0a321e06bb13","Malaysia","ماليزيا","MY"
"caa38a9f-a41f-47b7-a0c0-08dec77b7a69","cfbc3145-b350-480b-983d-08dec461c232","5e8b83ee-ab75-42d4-7ab7-08dec461c23d","834a770b-6372-40e2-bbcc-0a321e06bb13","Malaysia","ماليزيا","MY"
"40ea0d46-bff6-4591-aeb0-08def11f9fb5","90f51bae-c903-46a5-790f-08def0866aa3","889f81dd-9b61-48d0-a7a0-08def0866aac","834a770b-6372-40e2-bbcc-0a321e06bb13","Malaysia","ماليزيا","MY"
"0e2a8506-ea46-4124-ffe1-08deda75d219","633dc513-6f33-4bb5-1ec8-08deda71879b","44346def-4945-4b96-04fd-08deda71879d","8860ec77-e8c8-4070-aa15-db1c2dfc8df4","Denmark","الدنمارك","DK"
"3f3a3133-e354-43a1-a0b7-08dec77b7a69","b05f6bd5-256d-4940-9823-08dec461c232","dc087d3c-3562-44cc-7a93-08dec461c23d","8860ec77-e8c8-4070-aa15-db1c2dfc8df4","Denmark","الدنمارك","DK"
"2185e4e9-3f2b-410c-a0bf-08dec77b7a69","e641b12b-e4d1-47ab-9837-08dec461c232","eb07919f-adb5-4e98-7ab0-08dec461c23d","8860ec77-e8c8-4070-aa15-db1c2dfc8df4","Denmark","الدنمارك","DK"
"2895ef64-bcff-45c8-ec4c-08dddd671676","7ca07ae2-eec1-4ed0-c7ed-08dddd57848d","c92b1e43-b445-4e27-eb65-08dddd57848f","8860ec77-e8c8-4070-aa15-db1c2dfc8df4","Denmark","الدنمارك","DK"
"f2f5d02b-883a-49be-05bd-08dddd573e62","92aa796c-b5e1-4f57-a7e2-08dddd5433d4","122d47f7-8c5c-48a5-fd90-08dddd5433de","8860ec77-e8c8-4070-aa15-db1c2dfc8df4","Denmark","الدنمارك","DK"
"9386e6fc-2fe6-4880-c751-08de3adef664","87c2a5a9-f54f-49ff-7b82-08de3ade5903","ba5871a1-f81c-43c3-c7bd-08de3ade590a","8860ec77-e8c8-4070-aa15-db1c2dfc8df4","Denmark","الدنمارك","DK"
"d92a42f0-0dfd-4080-a475-08de064081a8","fcdc61e3-9c77-48bf-28ad-08de064080f7","b60f7e11-c096-4fab-64ce-08de064080f9","8d7d98ff-ccec-43d6-8155-44f9c0b72e26","Egypt","مصر","EG"
"9386e6fc-2fe6-4880-c751-08de3adef664","87c2a5a9-f54f-49ff-7b82-08de3ade5903","ba5871a1-f81c-43c3-c7bd-08de3ade590a","8d7d98ff-ccec-43d6-8155-44f9c0b72e26","Egypt","مصر","EG"
"f2f5d02b-883a-49be-05bd-08dddd573e62","92aa796c-b5e1-4f57-a7e2-08dddd5433d4","122d47f7-8c5c-48a5-fd90-08dddd5433de","8d7d98ff-ccec-43d6-8155-44f9c0b72e26","Egypt","مصر","EG"
"2895ef64-bcff-45c8-ec4c-08dddd671676","7ca07ae2-eec1-4ed0-c7ed-08dddd57848d","c92b1e43-b445-4e27-eb65-08dddd57848f","8d7d98ff-ccec-43d6-8155-44f9c0b72e26","Egypt","مصر","EG"
"5191f3af-2067-41c4-5deb-08de9e9ca8bb","d9eed3fe-a269-4d96-6897-08de9e04ed95","88e12df6-ffab-458e-cd97-08de9e04ed9e","8d7d98ff-ccec-43d6-8155-44f9c0b72e26","Egypt","مصر","EG"
"3f3a3133-e354-43a1-a0b7-08dec77b7a69","b05f6bd5-256d-4940-9823-08dec461c232","dc087d3c-3562-44cc-7a93-08dec461c23d","8d7d98ff-ccec-43d6-8155-44f9c0b72e26","Egypt","مصر","EG"
"2185e4e9-3f2b-410c-a0bf-08dec77b7a69","e641b12b-e4d1-47ab-9837-08dec461c232","eb07919f-adb5-4e98-7ab0-08dec461c23d","8d7d98ff-ccec-43d6-8155-44f9c0b72e26","Egypt","مصر","EG"
"23f63810-1a4c-4037-f08d-08dea241b62e","8c915ebe-4dc5-4900-f117-08dea2389aaf","617e08ea-9571-42d0-6a65-08dea2389ab1","8d7d98ff-ccec-43d6-8155-44f9c0b72e26","Egypt","مصر","EG"
"0e2a8506-ea46-4124-ffe1-08deda75d219","633dc513-6f33-4bb5-1ec8-08deda71879b","44346def-4945-4b96-04fd-08deda71879d","8d7d98ff-ccec-43d6-8155-44f9c0b72e26","Egypt","مصر","EG"
"4335f0f9-4137-4cf8-9a43-08deeaff3004","2fbc0553-b137-4021-0e03-08deeafdc6d6","cae5d760-47a5-460c-c6b4-08deeafdc6dc","8e5904bd-e75e-46f6-b4bb-2ab9872a7f87","UAE","الإمارات العربية المتحدة","AE"
